productId,categoryId,idGood,title,value,image,price,description,quantity,language
1,1,1,Combo làm giàu và quyền năng làm giàu (tặng kèm bookmark AHA),192100,https://salt.tikicdn.com/cache/200x200/ts/product/49/31/ac/b926a6034582aa0559b60c03ff36f202.jpg,192100,Sách mới,30,Tiếng Việt
2,1,1,"Bộ sách "" Khám phá tự do tài chính""",211100,https://salt.tikicdn.com/cache/200x200/ts/product/83/aa/06/c389308e302961003cad4ee66f409ede.jpg,211100,Sách mới,30,Tiếng Việt
3,1,1,Combo sách: Top 1 Toyota – Những Bài Học Về Nghệ Thuật Lãnh Đạo Từ Công Ty Sản Xuất Ô Tô Lớn Nhất Thế Giới + Sự Quyến Rũ Của Thương Hiệu,229100,https://salt.tikicdn.com/cache/200x200/ts/product/0f/70/11/db3c97322decbfd48d238a8f7f3cbeb1.jpg,229100,Sách mới,30,Tiếng Việt
4,1,1,"Combo Sách Kinh Điển : TiTan - Gia Tộc Rockefeller + Dầu Mỏ, Tiền Bạc Và Quyền Lực",1100,https://salt.tikicdn.com/cache/200x200/ts/product/e3/80/9b/89686fc26a60006e191c07f5d4cc145a.JPG,1100,Sách mới,30,Tiếng Việt
5,1,1,Bộ Sách Hay: Để Trở Thành Chuyên Gia Bất Động Sản (Gồm 2 cuốn: 100 Lời Khuyên Đầu Tư Bất Động Sản Khôn Ngoan Nhất + Tư Duy Nhanh Và Chậm) Tặng Sổ Tay Giá Trị (Khổ A6 Dày 200 Trang),355100,https://salt.tikicdn.com/cache/200x200/ts/product/e9/ca/b3/fabeca7a32bf4559da9d9c959b58965e.jpg,355100,Sách mới,30,Tiếng Việt
6,1,1,Phương Pháp Đầu Tư Warren Buffett - Tặng kèm sổ tay,140100,https://salt.tikicdn.com/cache/200x200/ts/product/4f/a7/67/ccf136823ebf5fc346c46ef7676385dd.jpg,140100,Sách mới,30,Tiếng Việt
7,1,1,​Jeffbezos Và Kỷ Nguyên Amazon (Tái Bản),74100,https://salt.tikicdn.com/cache/200x200/ts/product/b4/82/2f/53b05631f6a59e0cc612cfde98036469.jpg,74100,Sách mới,30,Tiếng Việt
8,1,1,Sức Mạnh Của Việc Đặt Câu Hỏi Tại Sao (Tặng Kèm Bookmark Tiki),74100,https://salt.tikicdn.com/cache/200x200/ts/product/21/73/80/bf03baa74e824acd98fa940ed8fe9b95.jpg,74100,Sách mới,30,Tiếng Việt
9,1,1,Để Trở Thành Nhà Lãnh Đạo Quần Chúng Xuất Sắc,57100,https://salt.tikicdn.com/cache/200x200/ts/product/39/80/33/f14fdf4854460d7c31d233404bde266e.jpg,57100,Sách mới,30,Tiếng Việt
10,1,1,Marketing Mở Đường Tăng Trưởng,113100,https://salt.tikicdn.com/cache/200x200/ts/product/3e/49/82/c3c0441b2e0eb25c76786fd2a36d6f5a.jpg,113100,Sách mới,30,Tiếng Việt
11,1,1,The Sell: 14 Bí Quyết Để Trở Thành Nhà Bán Hàng Đại Tài,74100,https://salt.tikicdn.com/cache/200x200/ts/product/38/94/a3/f1b722df309c21f13733e2a0c5a17501.jpg,74100,Sách mới,30,Tiếng Việt
12,1,1,Câu Chuyện Khởi Nghiệp Từ Những Gã Khổng Lồ Công Nghệ,97100,https://salt.tikicdn.com/cache/200x200/ts/product/c5/2c/b9/7bb804f9d45f717c8cbdcbb82a5e6275.png,97100,Sách mới,30,Tiếng Việt
13,1,1,Làm Việc Từ Xa Sao Cho Hiệu Quả,83100,https://salt.tikicdn.com/cache/200x200/ts/product/d9/de/28/71d7fb4c06247fd6635d8e952268e74a.jpg,83100,Sách mới,30,Tiếng Việt
14,1,1,Kiến Giết Voi,54100,https://salt.tikicdn.com/cache/200x200/ts/product/b0/0d/28/075c9b225faf0d86fdad85316428a137.jpg,54100,Sách mới,30,Tiếng Việt
15,1,1,"Combo: 9 Bài Học Về Tài Ăn Nói Trong Bán Hàng + Ai Hiểu Khách Hàng Người Đó Bán Được Hàng + 5 Nguyêt Tắc Thép, 15 Nghệ Thuật Bán Hàng Thành Công (Bộ 3 Cuốn)",234100,https://salt.tikicdn.com/cache/200x200/ts/product/e7/11/9a/f8de54be8e6d0526cdd56c50fa246411.jpg,234100,Sách mới,30,Tiếng Việt
16,1,1,Combo Người Bán Hàng Giỏi Phải Bán Mình Trước - Nguyên Tắc Quan Trọng Để Trở Thành Người Bán Hàng Xuất Sắc + Marketing du kích (Bộ 2 Cuốn),223100,https://salt.tikicdn.com/cache/200x200/ts/product/87/5e/82/bdcae9ffd0291aacb508f32387176580.jpg,223100,Sách mới,30,Tiếng Việt
17,1,1,Combo Sách : Bi Hài Nghiệp Shopping – Chuyện Gì Sẽ Xảy Ra Khi Mua Sắm Trở Thành Bản Năng? + Những Sai Lầm Đắt Giá Trong Marketing,205100,https://salt.tikicdn.com/cache/200x200/ts/product/e9/2d/ae/a55332a8a1d7208686f526cd188c9892.JPG,205100,Sách mới,30,Tiếng Việt
